ID,Last_Name,First_Name,Date_of_Birth,University_Level
45231,Al-Ghamdi,Mohammed,15/05/2005,FR
78456,Al-Otaibi,Abdullah,23/11/2004,SO
12987,Al-Qahtani,Ahmed,08/02/2003,JR
36542,Al-Shehri,Fahad,19/07/2002,SR
98712,Al-Dossari,Omar,30/09/2005,FR
23498,Al-Zahrani,Ibrahim,12/01/2004,SO
65432,Al-Harbi,Khalid,25/03/2003,JR
14789,Al-Shamrani,Yazeed,14/08/2002,SR
36925,Al-Malki,Saad,02/04/2005,FR
75321,Al-Ruwaili,Majed,28/06/2004,SO
89123,Al-Mutairi,Naif,05/12/2003,JR
25874,Al-Assiri,Sultan,17/03/2002,SR
41236,Al-Faifi,Turki,22/09/2005,FR
96325,Al-Subaie,Saud,09/10/2004,SO
74185,Al-Ahmari,Faisal,20/05/2003,JR
32147,Al-Dawsari,Saleh,11/04/2002,SR
95123,Al-Bugami,Abdulaziz,16/07/2005,FR
45678,Al-Shahrani,Meshal,03/06/2004,SO
78912,Al-Anazi,Nawaf,27/08/2003,JR
36987,Al-Rashidi,Hassan,14/11/2002,SR
15975,Al-Thaqafi,Talal,08/03/2005,FR
95124,Al-Najrani,Bandar,19/12/2004,SO
35789,Al-Shammari,Rayan,30/01/2003,JR
24680,Al-Barrak,Mishary,22/05/2002,SR
13579,Al-Qurashi,Waleed,11/08/2005,FR
86420,Al-Hajri,Mansour,15/02/2004,SO
97531,Al-Dowsari,Abdulrahman,26/07/2003,JR
24681,Al-Sahli,Yasser,03/09/2002,SR
35792,Al-Joufi,Hamad,28/11/2005,FR
46813,Al-Mousa,Bader,17/04/2004,SO
57924,Al-Yami,Khalil,09/10/2003,JR
68035,Al-Tuwaijri,Meshaal,14/01/2002,SR
79146,Al-Salman,Nasser,25/06/2005,FR
80257,Al-Omari,Malik,30/08/2004,SO
91368,Al-Awaji,Sami,12/03/2003,JR
10479,Al-Harthy,Ziyad,07/12/2002,SR
21580,Al-Hakami,Raed,19/01/2005,FR
32691,Al-Qurayshi,Ammar,24/05/2004,SO
43702,Al-Jaber,Tareq,16/09/2003,JR
54813,Al-Dosari,Musaed,28/02/2002,SR
65924,Al-Balawi,Muhannad,03/10/2005,FR
77035,Al-Zahir,Basel,08/07/2004,SO
88146,Al-Shehab,Azzam,21/04/2003,JR
99257,Al-Qarni,Tamim,05/11/2002,SR
11368,Al-Saadi,Ghazi,13/02/2005,FR
22479,Al-Tuwairqi,Fahd,27/09/2004,SO
33580,Al-Sulaim,Adel,09/06/2003,JR
44691,Al-Mutlaq,Badr,31/03/2002,SR
55802,Al-Rasheed,Firas,14/12/2005,FR
66913,Al-Ammar,Hatim,22/03/2004,SO
77024,Al-Zahrani,Turki,05/08/2003,JR
88135,Al-Harthi,Mishal,26/10/2002,SR
99246,Al-Khaldi,Nassar,17/05/2005,FR
10357,Al-Subaie,Fawaz,08/11/2004,SO
21468,Al-Harbi,Majid,19/02/2003,JR
32579,Al-Ghamdi,Thamer,30/07/2002,SR
43680,Al-Dossary,Meteb,11/09/2005,FR
54791,Al-Otaibi,Naif,23/01/2004,SO
65802,Al-Qahtani,Abdullah,04/04/2003,JR
76913,Al-Shehri,Mohammed,15/12/2002,SR
87024,Al-Shamrani,Omar,28/03/2005,FR
98135,Al-Malki,Fahad,09/06/2004,SO
10246,Al-Ruwaili,Ahmed,20/09/2003,JR
21357,Al-Mutairi,Ibrahim,01/02/2002,SR
32468,Al-Assiri,Khalid,14/07/2005,FR
43579,Al-Faifi,Yazeed,25/10/2004,SO
54680,Al-Ahmari,Saad,06/01/2003,JR
65791,Al-Dawsari,Majed,17/08/2002,SR
76802,Al-Bugami,Naif,30/11/2005,FR
87913,Al-Shahrani,Sultan,11/04/2004,SO
98024,Al-Anazi,Turki,22/07/2003,JR
10135,Al-Rashidi,Saud,03/05/2002,SR
21246,Al-Thaqafi,Faisal,16/08/2005,FR
32357,Al-Najrani,Saleh,27/12/2004,SO
43468,Al-Shammari,Abdulaziz,10/03/2003,JR
54579,Al-Barrak,Meshal,21/09/2002,SR
65680,Al-Qurashi,Nawaf,04/01/2005,FR
76791,Al-Hajri,Hassan,15/05/2004,SO
87802,Al-Dowsari,Talal,26/08/2003,JR
98913,Al-Sahli,Bandar,07/11/2002,SR
10024,Al-Joufi,Rayan,20/02/2005,FR
21135,Al-Mousa,Mishary,01/07/2004,SO
32246,Al-Yami,Waleed,12/10/2003,JR
43357,Al-Tuwaijri,Mansour,23/01/2002,SR
54468,Al-Salman,Abdulrahman,06/06/2005,FR
65579,Al-Omari,Yasser,17/09/2004,SO
76680,Al-Awaji,Hamad,28/12/2003,JR
87791,Al-Harthy,Bader,09/04/2002,SR
98802,Al-Hakami,Khalil,22/07/2005,FR
10913,Al-Qurayshi,Meshaal,03/11/2004,SO
21024,Al-Jaber,Nasser,14/02/2003,JR
32135,Al-Dosari,Malik,25/08/2002,SR
43246,Al-Balawi,Sami,08/12/2005,FR
54357,Al-Zahir,Ziyad,19/03/2004,SO
65468,Al-Shehab,Raed,30/06/2003,JR
76579,Al-Qarni,Ammar,11/10/2002,SR
87680,Al-Saadi,Tareq,24/01/2005,FR
98791,Al-Tuwairqi,Musaed,05/05/2004,SO
10802,Al-Sulaim,Muhannad,16/08/2003,JR
21913,Al-Mutlaq,Basel,27/12/2002,SR
33024,Al-Rasheed,Azzam,09/04/2005,FR
44135,Al-Ammar,Tamim,20/07/2004,SO
55246,Al-Zahrani,Ghazi,01/11/2003,JR
66357,Al-Harthi,Fahd,12/02/2002,SR
77468,Al-Khaldi,Adel,25/05/2005,FR
88579,Al-Subaie,Badr,06/09/2004,SO
99680,Al-Harbi,Firas,17/12/2003,JR
11791,Al-Ghamdi,Hatim,30/03/2002,SR
22802,Al-Dossary,Turki,13/08/2005,FR
33913,Al-Otaibi,Mishal,24/11/2004,SO
45024,Al-Qahtani,Nassar,07/03/2003,JR
56135,Al-Shehri,Fawaz,18/09/2002,SR
67246,Al-Shamrani,Majid,01/12/2005,FR
78357,Al-Malki,Thamer,12/04/2004,SO
89468,Al-Ruwaili,Meteb,23/07/2003,JR
12680,Al-Assiri,Abdullah,17/02/2005,FR
23791,Al-Faifi,Mohammed,28/06/2004,SO
34802,Al-Ahmari,Omar,09/10/2003,JR
45913,Al-Dawsari,Fahad,20/01/2002,SR
57024,Al-Bugami,Ahmed,03/05/2005,FR
68135,Al-Shahrani,Ibrahim,14/08/2004,SO
79246,Al-Anazi,Khalid,25/11/2003,JR
80357,Al-Rashidi,Yazeed,06/04/2002,SR
91468,Al-Thaqafi,Saad,19/07/2005,FR
35791,Al-Najrani,Majed,30/10/2004,SO
46802,Al-Shammari,Naif,10/02/2003,JR
57913,Al-Barrak,Sultan,21/08/2002,SR
69024,Al-Qurashi,Turki,04/11/2005,FR
70135,Al-Hajri,Saud,15/03/2004,SO
81246,Al-Dowsari,Faisal,26/06/2003,JR
92357,Al-Sahli,Saleh,07/10/2002,SR
14468,Al-Joufi,Abdulaziz,20/01/2005,FR
25579,Al-Mousa,Meshal,01/05/2004,SO
36680,Al-Yami,Nawaf,12/08/2003,JR
47791,Al-Tuwaijri,Hassan,23/12/2002,SR
58802,Al-Salman,Talal,06/04/2005,FR
69913,Al-Omari,Bandar,17/07/2004,SO
71024,Al-Awaji,Rayan,28/10/2003,JR
82135,Al-Harthy,Mishary,09/02/2002,SR
93246,Al-Hakami,Waleed,22/06/2005,FR
15357,Al-Qurayshi,Mansour,03/09/2004,SO
26468,Al-Jaber,Abdulrahman,14/12/2003,JR
37579,Al-Dosari,Yasser,25/05/2002,SR
48680,Al-Balawi,Hamad,07/09/2005,FR
59791,Al-Zahir,Bader,18/12/2004,SO
60802,Al-Shehab,Khalil,29/03/2003,JR
71913,Al-Qarni,Meshaal,10/07/2002,SR
83024,Al-Saadi,Nasser,23/10/2005,FR
94135,Al-Tuwairqi,Malik,03/02/2004,SO
16246,Al-Sulaim,Sami,14/05/2003,JR
27357,Al-Mutlaq,Ziyad,25/09/2002,SR
38468,Al-Rasheed,Raed,08/01/2005,FR
49579,Al-Ammar,Ammar,19/04/2004,SO
50680,Al-Zahrani,Tareq,30/07/2003,JR
61791,Al-Harthi,Musaed,11/11/2002,SR
72802,Al-Khaldi,Muhannad,24/03/2005,FR
83913,Al-Subaie,Basel,05/06/2004,SO
95024,Al-Harbi,Azzam,16/09/2003,JR
17135,Al-Ghamdi,Tamim,27/01/2002,SR
28246,Al-Dossary,Ghazi,10/05/2005,FR
